time,freq,dur,vel,name
1.505,98.0,1.174,0.51,G2
1.505,196.0,0.372,0.4,G3
1.505,493.88,0.431,0.47,B4
1.505,587.33,0.407,0.55,D5
1.505,698.46,0.337,0.5,F5
1.53,49.0,1.034,0.47,G1
1.785,146.83,0.36,0.37,D3
1.936,493.88,0.441,0.49,B4
1.936,622.25,0.36,0.53,D#5
2.076,392.0,0.07,0.34,G4
2.088,196.0,0.29,0.48,G3
2.378,146.83,0.314,0.52,D3
2.378,196.0,0.604,0.43,G3
2.378,246.94,0.127,0.38,B3
2.378,493.88,0.279,0.46,B4
2.378,587.33,0.301,0.56,D5
2.378,739.99,0.244,0.52,F#5
2.68,587.33,0.406,0.56,D5
2.68,698.46,0.395,0.49,F5
2.691,130.81,0.255,0.38,C3
2.703,65.41,1.07,0.61,C2
2.981,155.56,0.581,0.52,D#3
3.133,622.25,0.268,0.43,D#5
3.271,196.0,0.64,0.48,G3
3.551,587.33,0.301,0.56,D5
3.551,739.99,0.255,0.57,F#5
3.562,155.56,0.546,0.4,D#3
3.562,466.16,0.268,0.31,A#4
3.841,233.08,0.604,0.4,A#3
3.841,466.16,0.453,0.39,A#4
3.841,698.46,0.314,0.51,F5
3.85,77.78,1.05,0.5,D#2
3.854,587.33,0.441,0.64,D5
4.155,116.54,0.871,0.55,A#2
4.295,466.16,0.465,0.5,A#4
4.295,622.25,0.301,0.5,D#5
4.445,311.13,0.418,0.38,D#4
4.515,155.56,0.511,0.38,D#3
4.736,196.0,0.325,0.63,G3
5.026,932.33,0.233,0.53,A#5
5.038,155.56,0.524,0.38,D#3
5.038,311.13,0.244,0.48,D#4
5.073,103.83,0.989,0.43,G#2
5.108,51.91,0.466,0.42,G#1
5.316,830.61,0.21,0.39,G#5
5.328,466.16,0.5,0.31,A#4
5.608,523.25,0.546,0.53,C5
5.619,207.65,0.661,0.39,G#3
5.619,622.25,0.233,0.41,D#5
5.724,51.91,0.384,0.45,G#1
5.91,155.56,0.279,0.43,D#3
5.921,466.16,0.197,0.31,A#4
5.921,698.46,0.255,0.59,F5
6.2,98.0,1.138,0.46,G2
6.211,493.88,0.465,0.46,B4
6.211,622.25,0.279,0.42,D#5
6.246,49.0,1.056,0.48,G1
6.514,146.83,0.824,0.4,D3
6.793,783.99,0.244,0.36,G5
6.793,1046.5,0.279,0.5,C6
6.804,196.0,0.499,0.4,G3
7.233,932.33,0.163,0.61,A#5
7.384,65.41,1.035,0.56,C2
7.384,1046.5,0.245,0.43,C6
7.395,130.81,0.581,0.41,C3
7.395,622.25,0.245,0.43,D#5
7.395,783.99,0.081,0.34,G5
7.675,155.56,0.593,0.54,D#3
7.815,466.16,0.267,0.31,A#4
7.815,932.33,0.151,0.56,A#5
7.826,311.13,0.151,0.31,D#4
7.826,622.25,0.406,0.34,D#5
7.826,783.99,0.139,0.32,G5
7.966,783.99,0.279,0.34,G5
7.966,932.33,0.233,0.42,A#5
7.978,196.0,0.523,0.4,G3
7.978,311.13,0.197,0.34,D#4
