time,freq,dur,vel,name
3.277,138.59,1.513,0.5,C#3
3.277,207.65,1.513,0.5,G#3
3.277,277.18,1.513,0.5,C#4
3.529,415.3,0.504,0.5,G#4
3.529,523.25,0.504,0.5,C5
3.529,349.23,0.504,0.5,F4
4.034,349.23,0.063,0.5,F4
4.097,392,0.063,0.5,G4
4.16,440,0.063,0.5,A4
4.223,493.88,0.063,0.5,B4
4.286,523.25,0.063,0.5,C5
4.349,587.33,0.063,0.5,D5
4.412,659.26,0.063,0.5,E5
4.475,698.46,0.063,0.5,F5
4.538,783.99,0.063,0.5,G5
4.601,880,0.063,0.5,A5
4.664,987.77,0.063,0.5,B5
4.727,1046.5,0.063,0.5,C6
4.79,164.81,1.513,0.5,E3
4.79,130.81,1.513,0.5,C3
4.79,196,1.513,0.5,G3
4.79,261.63,1.513,0.5,C4
4.79,1396.91,0.756,0.5,F6
4.79,2793.83,0.756,0.5,F7
5.546,349.23,0.756,0.5,F4
5.546,415.3,0.756,0.5,G#4
6.303,174.61,1.513,0.5,F3
6.303,207.65,1.513,0.5,G#3
6.303,261.63,1.513,0.5,C4
6.807,523.25,0.252,0.5,C5
7.059,698.46,0.252,0.5,F5
7.311,830.61,0.252,0.5,G#5
7.563,783.99,0.252,0.5,G5
7.815,196,1.513,0.5,G3
7.815,155.56,1.513,0.5,D#3
7.815,233.08,1.513,0.5,A#3
7.815,698.46,0.252,0.5,F5
8.067,622.25,0.252,0.5,D#5
8.319,523.25,0.252,0.5,C5
8.571,415.3,0.504,0.5,G#4
9.076,392,0.252,0.5,G4
9.328,138.59,1.513,0.5,C#3
9.328,207.65,1.513,0.5,G#3
9.328,174.61,1.513,0.5,F3
9.328,349.23,0.504,0.5,F4
9.832,415.3,0.504,0.5,G#4
10.336,466.16,0.504,0.5,A#4
10.84,164.81,1.513,0.5,E3
10.84,130.81,1.513,0.5,C3
10.84,196,1.513,0.5,G3
10.84,523.25,0.504,0.5,C5
11.345,622.25,0.504,0.5,D#5
11.849,523.25,0.126,0.5,C5
11.975,587.33,0.126,0.5,D5
12.101,622.25,0.126,0.5,D#5
12.227,698.46,0.126,0.5,F5
0,174.61,1.513,0.5,F3
0,261.63,1.513,0.5,C4
0,207.65,1.513,0.5,G#3
0,783.99,1.261,0.5,G5
1.261,523.25,0.252,0.5,C5
1.513,164.81,1.513,0.5,E3
1.513,207.65,1.513,0.5,G#3
1.513,261.63,1.513,0.5,C4
1.513,659.26,0.252,0.5,E5
1.765,659.26,0.126,0.5,E5
1.891,698.46,0.126,0.5,F5
2.017,659.26,0.126,0.5,E5
2.143,587.33,0.126,0.5,D5
2.269,659.26,0.756,0.5,E5
3.025,155.56,1.513,0.5,D#3
3.025,261.63,1.513,0.5,C4
3.025,207.65,1.513,0.5,G#3
3.277,622.25,0.252,0.5,D#5
3.529,523.25,0.252,0.5,C5
3.782,415.3,0.504,0.5,G#4
4.286,392,0.252,0.5,G4
4.538,174.61,1.513,0.5,F3
4.538,146.83,1.513,0.5,D3
4.538,207.65,1.513,0.5,G#3
4.538,261.63,1.513,0.5,C4
4.538,349.23,0.504,0.5,F4
5.042,415.3,0.504,0.5,G#4
5.546,466.16,0.504,0.5,A#4
6.05,207.65,1.513,0.5,G#3
6.05,138.59,1.513,0.5,C#3
6.05,174.61,1.513,0.5,F3
6.05,233.08,0.756,0.5,A#3
6.807,261.63,0.756,0.5,C4
7.563,130.81,1.513,0.5,C3
7.563,196,1.513,0.5,G3
7.563,155.56,1.513,0.5,D#3
7.563,311.13,0.756,0.5,D#4
8.319,349.23,0.756,0.5,F4
9.076,116.54,1.513,0.5,A#2
9.076,207.65,1.513,0.5,G#3
9.076,174.61,1.513,0.5,F3
9.076,415.3,0.756,0.5,G#4
9.832,466.16,0.756,0.5,A#4
10.588,196,1.513,0.5,G3
10.588,130.81,1.513,0.5,C3
10.588,261.63,1.513,0.5,C4
10.588,523.25,0.756,0.5,C5
11.345,659.26,0.756,0.5,E5
12.101,87.31,1.513,0.5,F2
12.101,174.61,1.513,0.5,F3
12.101,698.46,0.756,0.5,F5
12.857,698.46,0.756,0.5,F5
12.857,880,0.756,0.5,A5
12.857,1046.5,0.756,0.5,C6
12.857,1396.91,0.756,0.5,F6
0,220,0.756,0.5,A3
0.756,261.63,0.504,0.5,C4
1.261,349.23,0.756,0.5,F4
1.513,164.81,1.513,0.5,E3
1.513,110,1.513,0.5,A2
1.513,196,1.513,0.5,G3
1.513,138.59,1.513,0.5,C#3
2.269,329.63,0.252,0.5,E4
2.521,293.66,0.252,0.5,D4
2.773,277.18,0.756,0.5,C#4
3.025,138.59,1.513,0.5,C#3
